freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.845e+02,2.205e+04,4.413e+04,6.716e+04
1.3,5.322e+03,1.091e+05,1.670e+05,2.814e+05
2.6,6.258e+03,1.178e+05,1.441e+05,2.682e+05
3.8,5.971e+03,1.035e+05,1.179e+05,2.273e+05
5.1,5.406e+03,9.688e+04,1.326e+05,2.349e+05
6.4,5.050e+03,1.110e+05,1.742e+05,2.902e+05
7.7,6.161e+03,1.141e+05,1.380e+05,2.583e+05
8.9,5.979e+03,1.284e+05,1.379e+05,2.723e+05
10.2,6.446e+03,1.390e+05,1.728e+05,3.183e+05
11.5,6.944e+03,1.362e+05,1.633e+05,3.064e+05
12.8,6.277e+03,1.510e+05,1.459e+05,3.032e+05
14.0,6.730e+03,1.324e+05,1.570e+05,2.960e+05
15.3,6.106e+03,1.266e+05,1.650e+05,2.978e+05
16.6,5.950e+03,1.481e+05,1.592e+05,3.133e+05
17.9,6.590e+03,1.402e+05,1.562e+05,3.030e+05
19.1,7.733e+03,1.514e+05,1.718e+05,3.310e+05
20.4,7.023e+03,1.600e+05,1.744e+05,3.415e+05
21.7,6.240e+03,1.232e+05,1.864e+05,3.158e+05
23.0,6.100e+03,1.184e+05,2.087e+05,3.332e+05
24.2,7.214e+03,1.277e+05,2.533e+05,3.883e+05
25.5,7.216e+03,1.307e+05,2.828e+05,4.207e+05
26.8,7.187e+03,1.346e+05,3.266e+05,4.684e+05
28.1,7.276e+03,1.286e+05,4.267e+05,5.626e+05
29.3,7.557e+03,1.153e+05,5.087e+05,6.315e+05
30.6,7.880e+03,1.173e+05,6.412e+05,7.664e+05
31.9,7.804e+03,1.367e+05,8.534e+05,9.980e+05
33.2,8.840e+03,1.836e+05,1.358e+06,1.550e+06
34.4,9.569e+03,2.060e+05,1.737e+06,1.953e+06
35.7,1.007e+04,2.986e+05,2.618e+06,2.927e+06
37.0,1.134e+04,5.398e+05,4.370e+06,4.921e+06
38.3,1.713e+04,7.470e+05,6.056e+06,6.821e+06
39.5,2.604e+04,9.489e+05,7.319e+06,8.294e+06
40.8,2.661e+04,7.709e+05,5.171e+06,5.968e+06
42.1,2.487e+04,7.888e+05,4.352e+06,5.165e+06
43.4,3.057e+04,1.058e+06,4.985e+06,6.073e+06
44.7,3.130e+04,1.241e+06,5.142e+06,6.414e+06
45.9,2.663e+04,1.276e+06,4.633e+06,5.935e+06
47.2,2.217e+04,1.413e+06,4.215e+06,5.651e+06
48.5,1.777e+04,1.471e+06,3.575e+06,5.064e+06
49.8,1.578e+04,1.248e+06,2.483e+06,3.747e+06
51.0,1.734e+04,1.253e+06,2.070e+06,3.340e+06
52.3,1.964e+04,1.269e+06,1.783e+06,3.071e+06
53.6,2.351e+04,1.323e+06,1.774e+06,3.121e+06
54.9,3.422e+04,1.474e+06,1.600e+06,3.108e+06
56.1,3.282e+04,1.504e+06,1.343e+06,2.880e+06
57.4,1.834e+04,1.209e+06,1.031e+06,2.258e+06
58.7,1.464e+04,1.183e+06,9.179e+05,2.115e+06
60.0,1.464e+04,1.109e+06,7.267e+05,1.850e+06
61.2,2.005e+04,1.181e+06,6.771e+05,1.878e+06
62.5,2.076e+04,1.435e+06,6.550e+05,2.111e+06
63.8,1.884e+04,1.371e+06,5.368e+05,1.927e+06
65.1,1.818e+04,1.338e+06,4.316e+05,1.788e+06
66.3,1.727e+04,1.053e+06,2.916e+05,1.362e+06
67.6,1.703e+04,1.304e+06,2.730e+05,1.594e+06
68.9,2.100e+04,1.871e+06,3.075e+05,2.199e+06
70.2,2.351e+04,1.804e+06,2.545e+05,2.082e+06
71.4,2.130e+04,1.623e+06,2.009e+05,1.845e+06
72.7,2.048e+04,1.554e+06,1.890e+05,1.763e+06
74.0,2.020e+04,1.412e+06,1.690e+05,1.601e+06
75.3,1.845e+04,1.224e+06,1.527e+05,1.395e+06
76.5,1.878e+04,9.539e+05,1.269e+05,1.100e+06
77.8,2.510e+04,9.814e+05,1.481e+05,1.155e+06
79.1,2.052e+04,6.407e+05,1.324e+05,7.936e+05
80.4,1.968e+04,5.962e+05,9.428e+04,7.102e+05
81.6,2.368e+04,5.856e+05,9.405e+04,7.034e+05
82.9,2.350e+04,4.561e+05,8.728e+04,5.668e+05
84.2,2.485e+04,4.086e+05,9.095e+04,5.244e+05
